FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,
2.619061,-1.0,353.01544189453125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.01544189453125,0.0,0.0,0.0,0.0,0.09,-0.12195121951219513,-0.06097560975609757,0.06097560975609757,0.1318359375,
2.663591,-1.0,353.00994873046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00994873046875,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1318359375,
2.697114,-1.0,353.00994873046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00994873046875,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1318359375,
2.720246,-1.0,353.00994873046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.00994873046875,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.1318359375,
2.745428,-1.0,353.0126953125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.0126953125,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.1318359375,
2.783005,-1.0,353.0126953125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.0126953125,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1318359375,
2.799514,-1.0,353.0126953125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.0126953125,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.06097560975609757,0.1318359375,
2.838173,-1.0,353.0126953125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.0126953125,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.06097560975609757,0.1318359375,
2.860039,-1.0,353.0126953125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.0126953125,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1318359375,
2.880425,-1.0,353.0126953125,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.0126953125,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
